molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,IC50,=,5470.0,nM
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,IC50,=,1360.0,nM
CHEMBL348083,CC(C)/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,30800.0,nM
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,IC50,=,22500.0,nM
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,IC50,=,180.0,nM
CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,2120.0,nM
CHEMBL160219,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,IC50,>,1000000.0,nM
CHEMBL445916,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,IC50,>,1000000.0,nM
CHEMBL158041,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,IC50,=,113000.0,nM
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,IC50,=,750.0,nM
CHEMBL156919,CCC/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,1610.0,nM
CHEMBL156931,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,=,13600.0,nM
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,IC50,=,210.0,nM
CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,IC50,=,650.0,nM
CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,920.0,nM
CHEMBL155350,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,IC50,=,100.0,nM
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,,,nM
CHEMBL155863,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,=,25400.0,nM
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,IC50,=,540.0,nM
CHEMBL350464,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,=,3740.0,nM
CHEMBL304241,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,IC50,=,8.0,nM
CHEMBL62743,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,IC50,=,9.0,nM
CHEMBL65252,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,IC50,=,10.0,nM
CHEMBL293004,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,IC50,=,8.8,nM
CHEMBL63223,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,IC50,=,8.6,nM
CHEMBL66639,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,IC50,=,100.0,nM
CHEMBL418480,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,IC50,=,10.0,nM
CHEMBL291647,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,IC50,=,9.0,nM
CHEMBL303594,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,IC50,=,10.0,nM
CHEMBL294811,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,IC50,=,100.0,nM
CHEMBL65761,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,IC50,=,9.0,nM
CHEMBL303112,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,IC50,=,8.0,nM
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,=,700.0,nM
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21,IC50,=,17700.0,nM
CHEMBL332223,CCOC(=O)C1=Cc2ccccc2CC1=O,IC50,=,229.09,nM
CHEMBL333180,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,208.93,nM
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL122750,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,501.19,nM
CHEMBL331290,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,28.84,nM
CHEMBL332164,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,IC50,=,28.84,nM
CHEMBL123768,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,IC50,=,190.55,nM
CHEMBL122697,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,501.19,nM
CHEMBL340590,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,30.2,nM
CHEMBL122279,O=C(O)C1=Cc2ccccc2CC1=O,IC50,=,15135.61,nM
CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,19.95,nM
CHEMBL331245,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2,IC50,=,12022.64,nM
CHEMBL121752,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,257.04,nM
CHEMBL123071,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,67.61,nM
CHEMBL123155,O=C(Cl)C1=Cc2ccccc2CC1=O,IC50,=,60.26,nM
