molecule_chembl_id,standardized_smiles,Class,pIC50,MW,LogP,HBD,HBA,RotBonds,TPSA
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1,5.866461091629782,305.76500000000004,2.915000000000001,1,4,1,55.620000000000005
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,1,6.7447274948966935,310.1910000000001,3.6709000000000023,1,3,2,34.4
CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,1,5.673664139071249,212.29600000000002,2.9335000000000013,0,2,1,17.29
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,1,6.1249387366083,392.2970000000002,4.1944000000000035,1,4,4,55.62
CHEMBL156919,CCC/N=C1/CCc2c1n(C)c1ccccc21,1,5.79317412396815,226.32299999999998,3.3236000000000017,0,2,2,17.29
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1,6.6777807052660805,364.24300000000005,3.414200000000002,1,4,2,55.620000000000005
CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1,6.187086643357144,350.216,3.0241000000000016,1,4,1,55.620000000000005
CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,1,6.036212172654444,198.269,2.543400000000001,0,2,0,17.29
CHEMBL155350,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1,7.0,319.7920000000001,3.3051000000000013,1,4,2,55.620000000000005
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,1,6.267606240177031,364.24300000000005,3.3663000000000025,0,4,1,46.830000000000005
CHEMBL350464,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,1,5.427128397799519,285.34700000000004,2.651700000000001,1,4,2,55.620000000000005
CHEMBL66639,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,1,7.0,314.772,3.7432000000000025,1,3,2,52.900000000000006
CHEMBL294811,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,1,7.0,294.354,3.398220000000002,1,3,2,52.900000000000006
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,1,6.154901959985743,171.243,1.8967,1,1,2,12.03
CHEMBL332223,CCOC(=O)c1cc2ccccc2cc1O,1,6.639993867770901,216.236,2.7221000000000015,1,3,2,46.53
CHEMBL333180,CCOC(=O)c1cc2cc(Br)ccc2cc1O,1,6.679999195735272,295.132,3.4846000000000017,1,3,2,46.53
CHEMBL123609,O=C(O)c1cc2cc(Br)ccc2cc1O,1,6.0,267.078,3.0061000000000004,2,2,1,57.53
CHEMBL122750,O=C(O)c1cc2cc(Cl)ccc2cc1O,1,6.299997602857746,222.627,2.8970000000000007,2,2,1,57.53
CHEMBL123768,CCOC(=O)c1cc2cc(C)ccc2cc1O,1,6.719991046891813,230.26299999999998,3.0305200000000023,1,3,2,46.53
CHEMBL122697,CCOC(=O)c1cc2cc(Cl)ccc2cc1O,1,6.299997602857746,250.68099999999998,3.375500000000002,1,3,2,46.53
CHEMBL121752,CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2cc1O,1,6.589999287456538,261.23299999999995,2.6303000000000014,1,5,3,89.67
CHEMBL123071,O=C(O)c1cc2cc([N+](=O)[O-])ccc2cc1O,1,7.169989064063882,233.179,2.1518,2,4,2,100.67
CHEMBL123155,O=C(Cl)c1cc2ccccc2cc1O,1,7.219970872662662,206.628,2.9244000000000008,1,2,1,37.3
CHEMBL186784,O=c1c2ccccc2oc2ccccc12,1,6.075720713938118,196.20499999999998,2.946200000000001,0,2,0,30.21
CHEMBL187368,O=c1c2ccccc2oc2cccc(O)c12,1,6.508638306165727,212.20399999999998,2.651800000000001,1,3,0,50.44
CHEMBL364619,COc1cccc2oc3ccccc3c(=O)c12,1,6.045757490560675,226.231,2.9548000000000014,0,3,1,39.44
CHEMBL185960,O=c1c2ccccc2oc2ccc(O)cc12,1,5.42021640338319,212.20399999999998,2.6518000000000006,1,3,0,50.44
CHEMBL365640,O=c1c2ccccc2oc2cc(O)ccc12,1,5.958607314841775,212.20399999999998,2.6518000000000006,1,3,0,50.44
CHEMBL186368,COc1ccc2c(=O)c3ccccc3oc2c1,1,6.7447274948966935,226.231,2.9548000000000014,0,3,1,39.44
CHEMBL359978,O=c1c2ccccc2oc2c(O)cccc12,1,5.886056647693163,212.20399999999998,2.6518000000000006,1,3,0,50.44
CHEMBL185686,O=c1c2cccc(O)c2oc2cccc(O)c12,1,6.136677139879544,228.20299999999997,2.3574000000000006,2,4,0,70.67
CHEMBL185788,O=c1c2ccc(O)cc2oc2c(O)cccc12,1,5.346787486224656,228.20299999999997,2.3573999999999993,2,4,0,70.67
