molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL156630,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,IC50,>,1000000.0,nM
CHEMBL155754,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,IC50,>,1000000.0,nM
CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,IC50,=,18.0,nM
CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,IC50,=,9.0,nM
CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,IC50,=,4.4,nM
CHEMBL348083,CC(C)/N=C1/CCc2c1n(C)c1ccccc21,IC50,>,1000000.0,nM
CHEMBL157182,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,IC50,=,395000.0,nM
CHEMBL160347,COc1cc(Br)c2oc(C3CCNCC3)cc2c1,IC50,=,23400.0,nM
CHEMBL347197,CC/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,77600.0,nM
CHEMBL160219,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,IC50,>,1000000.0,nM
CHEMBL445916,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,IC50,>,1000000.0,nM
CHEMBL158041,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1,IC50,>,1000000.0,nM
CHEMBL434261,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,IC50,=,2.0,nM
CHEMBL348607,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,IC50,=,175000.0,nM
CHEMBL156919,CCC/N=C1/CCc2c1n(C)c1ccccc21,IC50,>,1000000.0,nM
CHEMBL156931,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,>,1000000.0,nM
CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,IC50,=,2.2,nM
CHEMBL160836,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,IC50,>,1000000.0,nM
CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,IC50,=,8.0,nM
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,IC50,=,0.014,nM
CHEMBL156861,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,IC50,>,1000000.0,nM
CHEMBL346766,C/N=C1/CCc2c1n(C)c1ccccc21,IC50,=,317000.0,nM
CHEMBL16623,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,IC50,=,16.0,nM
CHEMBL155350,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,IC50,>,1000000.0,nM
CHEMBL433041,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,,,nM
CHEMBL155863,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,>,1000000.0,nM
CHEMBL414637,O=C1CCc2cc(OCCCC(F)(F)F)ccc21,IC50,=,0.318,nM
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O,IC50,=,130.0,nM
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,IC50,=,90.0,nM
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,IC50,=,51000.0,nM
CHEMBL350464,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,>,1000000.0,nM
CHEMBL161896,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,IC50,=,20.0,nM
CHEMBL304241,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,IC50,=,19000.0,nM
CHEMBL62743,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,IC50,=,42000.0,nM
CHEMBL65252,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,IC50,=,20000.0,nM
CHEMBL293004,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O,IC50,=,100000.0,nM
CHEMBL63223,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,IC50,=,89000.0,nM
CHEMBL66639,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,IC50,=,40000.0,nM
CHEMBL418480,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,IC50,=,120000.0,nM
CHEMBL291647,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,IC50,=,83000.0,nM
CHEMBL303594,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,IC50,=,25000.0,nM
CHEMBL294811,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,IC50,=,30000.0,nM
CHEMBL65761,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,IC50,=,7200.0,nM
CHEMBL303112,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O,IC50,=,130000.0,nM
CHEMBL299655,NNC(=O)C1(c2ccccc2)CC1F,IC50,=,20.0,nM
CHEMBL903,NNC(N)=O,IC50,=,6.7,nM
CHEMBL2094028,Cl.NC[C@H]1C[C@]1(F)c1ccccc1,IC50,=,1240.0,nM
CHEMBL445099,NC(=O)C1CC1(F)c1ccccc1,IC50,,,nM
CHEMBL542118,Cl.NC1CC1c1ccccc1,IC50,=,33.0,nM
CHEMBL500093,Cl.NCC1CC1c1ccccc1,IC50,=,33.0,nM
CHEMBL445099,NC(=O)C1CC1(F)c1ccccc1,IC50,,,nM
CHEMBL51601,NCC1(c2ccccc2)CC1F,IC50,=,660.0,nM
CHEMBL2094026,Cl.NCC[C@H]1C[C@]1(F)c1ccccc1,IC50,=,490.0,nM
CHEMBL2094027,Cl.N[C@H]1C[C@]1(F)c1ccccc1,IC50,=,3.6,nM
CHEMBL555111,Cl.NC1(c2ccccc2)CC1F,IC50,,,nM
CHEMBL51601,NCC1(c2ccccc2)CC1F,IC50,=,12.0,nM
CHEMBL2094014,Cl.NCC[C@@H]1C[C@]1(F)c1ccccc1,IC50,,,nM
CHEMBL2093957,Cl.N[C@@H]1C[C@]1(F)c1ccccc1,IC50,=,190.0,nM
CHEMBL1255743,Cl.N[C@@H]1C[C@H]1c1ccccc1,IC50,=,35.0,nM
CHEMBL2094015,Cl.NC[C@@H]1C[C@]1(F)c1ccccc1,IC50,,,nM
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,=,14.0,nM
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21,IC50,=,14.0,nM
CHEMBL332223,CCOC(=O)C1=Cc2ccccc2CC1=O,IC50,=,5011.87,nM
CHEMBL333180,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,1000.0,nM
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,IC50,=,33.11,nM
CHEMBL122750,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,IC50,=,22.91,nM
CHEMBL331290,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,IC50,=,104.71,nM
CHEMBL332164,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,IC50,=,100.0,nM
CHEMBL123768,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,IC50,=,1000.0,nM
