molecule_chembl_id,standardized_smiles,Class,pIC50,MW,LogP,HBD,HBA,RotBonds,TPSA
CHEMBL350093,N#CCCN1CC(=O)OC(c2ccc(OCc3ccccc3)cc2)=N1,1,7.744727494896693,335.363,2.6996800000000007,0,6,6,74.92
CHEMBL161907,O=c1c(=O)c2ccc(OCCCC(F)(F)F)cc2c1=O,1,8.045757490560675,286.205,1.5173,0,4,4,60.440000000000005
CHEMBL17079,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=S,1,8.356547323513812,337.40400000000005,4.365270000000002,0,6,6,63.980000000000004
CHEMBL434261,N#CCCn1nnc(-c2ccc(OCc3ccccc3)cc2)n1,1,8.698970004336019,305.341,2.8327800000000005,0,6,6,76.62
CHEMBL17092,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,1,8.657577319177793,321.33600000000007,2.995980000000001,0,6,6,81.05000000000001
CHEMBL16530,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=O,1,8.096910013008056,337.40400000000005,3.464480000000002,0,6,6,67.91
CHEMBL16623,N#CCCn1nc(-c2ccc(OCc3ccccc3)cc2)sc1=S,1,7.795880017344075,353.47200000000004,4.833770000000003,0,6,6,50.84
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O,1,6.886056647693163,196.209,1.99642,0,3,0,42.85
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,1,7.045757490560675,326.277,4.373800000000002,0,3,1,42.85
CHEMBL161896,COCC(COc1ccc(OCc2cccc(C(F)(F)F)c2)cc1C(C)=O)C(=O)OC,1,7.698970004336019,440.41400000000016,4.301400000000004,0,6,10,71.06
CHEMBL299655,NNC(=O)C1(c2ccccc2)CC1F,1,7.698970004336019,194.20899999999997,0.6560999999999999,2,2,2,55.12
CHEMBL903,NNC(N)=O,1,8.173925197299173,75.071,-1.4716000000000005,3,2,0,81.13999999999999
CHEMBL542118,NC1CC1c1ccccc1,1,7.481486060122112,133.194,1.5011999999999999,1,1,1,26.02
CHEMBL500093,NCC1CC1c1ccccc1,1,7.481486060122112,147.22099999999998,1.7488000000000001,1,1,2,26.02
CHEMBL51601,NCC1(c2ccccc2)CC1F,1,6.180456064458131,165.21099999999993,1.6249000000000002,1,1,2,26.02
CHEMBL2094026,NCC[C@H]1C[C@]1(F)c1ccccc1,1,6.309803919971486,179.23800000000003,2.2201000000000004,1,1,3,26.02
CHEMBL2094027,N[C@H]1C[C@]1(F)c1ccccc1,1,8.443697499232712,151.184,1.5824,1,1,1,26.02
CHEMBL2093957,N[C@@H]1C[C@]1(F)c1ccccc1,1,6.721246399047171,151.184,1.5824,1,1,1,26.02
CHEMBL1255743,N[C@@H]1C[C@H]1c1ccccc1,1,7.455931955649724,133.194,1.5011999999999999,1,1,1,26.02
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,1,7.853871964321762,171.243,1.8967,1,1,2,12.03
CHEMBL1235738,C#CCN[C@H]1CCc2ccccc21,1,7.853871964321762,171.243,1.8967,1,1,2,12.03
CHEMBL123609,O=C(O)c1cc2cc(Br)ccc2cc1O,1,7.4800408192479315,267.078,3.0061000000000004,2,2,1,57.53
CHEMBL122750,O=C(O)c1cc2cc(Cl)ccc2cc1O,1,7.639974910810602,222.627,2.8970000000000007,2,2,1,57.53
CHEMBL331290,O=C(Cl)c1cc2cc([N+](=O)[O-])ccc2cc1O,1,6.980011840408714,251.62499999999997,2.8326000000000007,1,4,2,80.44
CHEMBL332164,Cc1ccc2cc(O)c(C(=O)Cl)cc2c1,1,7.0,220.655,3.232820000000001,1,2,1,37.3
CHEMBL340590,O=C(Cl)c1cc2cc(Cl)ccc2cc1O,1,8.0,241.07299999999998,3.577800000000001,1,2,1,37.3
CHEMBL122279,O=C(O)c1cc2ccccc2cc1O,1,7.759950227887352,188.182,2.2436000000000003,2,2,1,57.53
CHEMBL125541,O=C(Cl)c1cc2cc(Br)ccc2cc1O,1,6.959991363986458,285.524,3.686900000000001,1,2,1,37.3
CHEMBL331245,Cc1ccc2cc(O)c(C(=O)O)cc2c1,1,7.720105019988361,202.209,2.5520200000000006,2,2,1,57.53
CHEMBL123071,O=C(O)c1cc2cc([N+](=O)[O-])ccc2cc1O,1,7.709965388637482,233.179,2.1518,2,4,2,100.67
CHEMBL123155,O=C(Cl)c1cc2ccccc2cc1O,1,6.9399824574684,206.628,2.9244000000000008,1,2,1,37.3
CHEMBL56918,C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,1,6.840011949618013,326.34800000000007,3.379900000000002,0,5,4,65.74
CHEMBL122239,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,1,6.23000269597146,326.34800000000007,3.2982200000000015,0,5,4,65.74000000000001
CHEMBL119017,C/C(=C\COc1ccc2c(C)c(C)c(=O)oc2c1)C1=CC(=O)C(C)(C)O1,1,6.890016705180107,354.4020000000001,3.9967400000000026,0,5,4,65.74
CHEMBL120770,Cc1cc(=O)oc2cc(OC/C=C/C3=CC(=O)C(C)(C)O3)ccc12,1,6.770011163455189,326.348,3.2982200000000024,0,5,4,65.74
CHEMBL118875,Cc1c(C)c2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,1,6.199998172182031,340.37500000000006,3.6066400000000023,0,5,4,65.74000000000001
CHEMBL333655,CC1(C)OC(/C=C/COc2ccc3ccc(=O)oc3c2)=CC1=O,1,7.550059011226662,312.3210000000001,2.9898000000000016,0,5,4,65.74000000000001
CHEMBL130217,NC(=O)/C=C1\CCc2c(F)cc(F)cc21,1,6.698970004336019,209.195,1.7797,1,1,1,43.09
CHEMBL556769,NNC/C(=C/F)c1ccccc1,1,6.187086643357144,166.19899999999998,1.4603000000000002,2,2,3,38.05
CHEMBL142738,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,1,8.059981844992336,293.32200000000006,3.6621400000000017,1,3,2,59.31
CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1,1,8.770062314092065,252.269,3.3720000000000017,0,3,3,39.44
CHEMBL339565,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,1,7.580044251510242,300.317,3.5576000000000016,0,4,2,59.92
CHEMBL124935,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21,1,8.079981083971084,303.277,3.263200000000002,0,5,2,85.99
CHEMBL123895,O=C1c2ccccc2-c2nnc(-c3ccccc3[N+](=O)[O-])cc21,1,6.279997898282849,303.27700000000004,3.263200000000002,0,5,2,85.99
CHEMBL339429,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,1,6.929999096197655,283.29,3.226680000000001,0,4,1,66.64
CHEMBL339027,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,1,7.4800408192479315,283.29,3.2266800000000018,0,4,1,66.64
CHEMBL127774,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21,1,8.070019409484486,326.277,4.373800000000002,0,3,1,42.85
CHEMBL338094,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21,1,8.090016305060155,337.176,4.117500000000002,0,3,1,42.85
CHEMBL127622,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21,1,8.250031916490597,337.176,4.1175000000000015,0,3,1,42.85
CHEMBL127517,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21,1,7.96018944585165,292.725,4.008400000000003,0,3,1,42.85
CHEMBL339626,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21,1,8.33998877871067,292.725,4.008400000000002,0,3,1,42.85
CHEMBL127518,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21,1,6.719991046891813,292.725,4.008400000000002,0,3,1,42.85
CHEMBL125921,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21,1,8.299988937677888,294.26,3.6332000000000013,0,3,1,42.85
CHEMBL340701,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21,1,7.830031826003108,276.27,3.4941000000000013,0,3,1,42.85
CHEMBL127751,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21,1,7.36997914888659,276.27,3.494100000000002,0,3,1,42.85
CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,1,7.130005999878258,288.30600000000004,3.3636000000000017,0,4,2,52.080000000000005
CHEMBL125094,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,1,7.36997914888659,288.30600000000004,3.3636000000000017,0,4,2,52.080000000000005
CHEMBL127757,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21,1,6.570005615848293,274.279,3.060600000000001,1,4,1,63.08
CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,1,6.219999701663429,272.307,3.663420000000002,0,3,1,42.85
CHEMBL127982,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21,1,8.199970640755865,308.34000000000003,4.508200000000003,0,3,1,42.85
CHEMBL125843,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21,1,7.580044251510242,284.31800000000004,3.8584000000000023,0,3,2,42.85
CHEMBL126505,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21,1,7.50003813440381,286.334,3.473200000000002,0,3,3,42.85
CHEMBL338035,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc21,1,6.119998611678231,272.307,3.2788000000000013,0,3,2,42.85
CHEMBL421088,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21,1,6.749994971513104,258.28000000000003,3.3550000000000013,0,3,1,42.85
CHEMBL357614,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,1,8.789949150124862,370.273,4.6843400000000015,0,3,3,39.44
CHEMBL142582,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,1,8.950007143079857,325.32000000000005,3.897040000000003,0,5,4,82.58000000000001
CHEMBL145792,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,1,8.630042392653946,305.3330000000001,3.860520000000003,0,4,3,63.23
CHEMBL274030,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,1,8.830031826003108,314.7680000000001,4.642240000000004,0,3,3,39.44
CHEMBL276076,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,1,8.809948582240795,298.31300000000005,4.127940000000003,0,3,3,39.44
CHEMBL18966,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,1,8.860120913598763,294.34999999999997,4.297260000000004,0,3,3,39.44
CHEMBL356977,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,1,8.96018944585165,325.32000000000005,3.897040000000003,0,5,4,82.58000000000001
CHEMBL356714,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,1,8.849857838151442,305.3330000000001,3.860520000000003,0,4,3,63.23
CHEMBL143555,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,1,8.369979148886591,348.32000000000005,5.007640000000003,0,3,3,39.44
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,1,8.669992299127241,314.7680000000001,4.642240000000003,0,3,3,39.44
CHEMBL108697,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,1,9.040005161671584,298.31300000000005,4.127940000000003,0,3,3,39.44
CHEMBL439811,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1,8.100015437450608,337.37500000000006,3.9472400000000025,1,4,4,68.53999999999999
CHEMBL145003,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,1,8.439973751087107,364.3190000000001,4.8874400000000024,0,4,4,48.67
CHEMBL111310,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1,8.779891911959945,310.34900000000005,3.9974400000000037,0,4,4,48.67
CHEMBL109085,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1,8.92009553233328,294.35,4.297260000000004,0,3,3,39.44
CHEMBL342327,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O,1,8.709965388637482,305.3330000000001,3.860520000000003,0,4,3,63.23
CHEMBL342724,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O,1,6.900008766455315,296.32200000000006,3.694440000000003,1,4,3,59.67
CHEMBL142916,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,1,8.410050398674292,296.32200000000006,3.694440000000002,1,4,3,59.67
CHEMBL145452,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1,1,6.699991797446187,360.3870000000001,3.1861400000000017,0,6,4,82.81000000000002
CHEMBL18978,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,1,7.79997073344623,330.36100000000005,3.1775400000000014,0,5,3,73.58000000000001
CHEMBL145292,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,1,8.950007143079857,302.32900000000006,4.525200000000003,0,3,3,39.44
CHEMBL146222,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,1,8.750068243365805,306.36100000000016,4.2508000000000035,0,3,3,39.44
CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,1,9.040005161671584,292.3340000000001,3.860700000000003,0,3,3,39.44
CHEMBL348922,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,1,8.860120913598763,279.339,4.0219400000000025,1,3,3,42.24
CHEMBL111309,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,1,8.969805214643248,280.32300000000004,3.9888400000000033,0,3,3,39.44
CHEMBL145374,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1,1,6.589999287456538,328.367,5.039000000000003,0,3,4,39.44
